"Plot Title: field"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 2252215, SEN S/N: 2226787)","Water Content, m³/m³ (LGR S/N: 2252215, SEN S/N: 2241185)","Temp, °C (LGR S/N: 2252215, SEN S/N: 10785045)","RH, % (LGR S/N: 2252215, SEN S/N: 10785045)"
90,08/27/17 08:00:00  AM,13.594,0.0293,12.195,94.700
91,08/27/17 09:00:00  AM,13.642,0.0293,18.033,85.400
92,08/27/17 10:00:00  AM,14.026,0.0286,21.127,71.200
93,08/27/17 11:00:00  AM,14.697,0.0272,20.913,63.700
94,08/27/17 12:00:00  PM,15.461,0.0272,23.521,56.200
95,08/27/17 01:00:00  PM,16.153,0.0257,23.232,54.000
96,08/27/17 02:00:00  PM,16.749,0.0243,23.088,54.100
97,08/27/17 03:00:00  PM,17.272,0.0235,21.700,55.200
98,08/27/17 04:00:00  PM,17.653,0.0221,21.294,57.900
99,08/27/17 05:00:00  PM,17.962,0.0214,21.652,56.800
100,08/27/17 06:00:00  PM,18.152,0.0206,20.746,57.700
101,08/27/17 07:00:00  PM,18.081,0.0192,17.320,66.300
102,08/27/17 08:00:00  PM,17.796,0.0184,15.915,72.700
103,08/27/17 09:00:00  PM,17.368,0.0184,16.106,77.400
104,08/27/17 10:00:00  PM,16.987,0.0192,16.463,80.300
105,08/27/17 11:00:00  PM,16.701,0.0192,15.223,84.200
106,08/28/17 12:00:00  AM,16.392,0.0199,14.768,89.100
107,08/28/17 01:00:00  AM,16.106,0.0206,15.318,92.200
108,08/28/17 02:00:00  AM,15.915,0.0199,16.701,88.400
109,08/28/17 03:00:00  AM,15.819,0.0199,14.745,89.000
110,08/28/17 04:00:00  AM,15.700,0.0206,14.601,92.800
111,08/28/17 05:00:00  AM,15.509,0.0214,13.882,94.000
112,08/28/17 06:00:00  AM,15.318,0.0228,14.218,96.200
113,08/28/17 07:00:00  AM,15.175,0.0235,14.266,97.300
114,08/28/17 08:00:00  AM,15.079,0.0243,16.010,97.600
115,08/28/17 09:00:00  AM,15.199,0.0221,18.129,92.600
116,08/28/17 10:00:00  AM,15.581,0.0214,19.270,82.900
117,08/28/17 11:00:00  AM,16.058,0.0214,20.198,75.900
118,08/28/17 12:00:00  PM,16.558,0.0206,20.817,72.200
119,08/28/17 01:00:00  PM,17.034,0.0199,21.223,70.800
120,08/28/17 02:00:00  PM,17.510,0.0192,22.034,66.100
121,08/28/17 03:00:00  PM,17.915,0.0184,22.824,62.500
122,08/28/17 04:00:00  PM,18.271,0.0184,23.954,60.900
123,08/28/17 05:00:00  PM,18.580,0.0163,21.390,62.000
124,08/28/17 06:00:00  PM,18.723,0.0163,21.390,67.200
125,08/28/17 07:00:00  PM,18.675,0.0155,19.817,70.100
126,08/28/17 08:00:00  PM,18.438,0.0148,18.509,75.500
127,08/28/17 09:00:00  PM,18.105,0.0148,18.794,79.900
128,08/28/17 10:00:00  PM,17.843,0.0148,18.485,82.600
129,08/28/17 11:00:00  PM,17.629,0.0148,18.081,83.300
130,08/29/17 12:00:00  AM,17.439,0.0148,17.272,83.800
131,08/29/17 01:00:00  AM,17.249,0.0148,16.320,86.400
132,08/29/17 02:00:00  AM,17.034,0.0148,15.485,88.900
133,08/29/17 03:00:00  AM,16.820,0.0155,15.438,90.800
134,08/29/17 04:00:00  AM,16.630,0.0155,15.270,91.900
135,08/29/17 05:00:00  AM,16.463,0.0155,15.247,92.400
136,08/29/17 06:00:00  AM,16.344,0.0163,15.199,93.300
137,08/29/17 07:00:00  AM,16.201,0.0170,14.864,93.900
138,08/29/17 08:00:00  AM,16.058,0.0170,17.106,93.700
139,08/29/17 09:00:00  AM,16.129,0.0170,18.747,88.000
140,08/29/17 10:00:00  AM,16.415,0.0170,23.040,73.300
141,08/29/17 11:00:00  AM,16.939,0.0163,23.424,62.800
142,08/29/17 12:00:00  PM,17.439,0.0155,23.857,63.000
143,08/29/17 01:00:00  PM,17.915,0.0148,22.633,62.800
144,08/29/17 02:00:00  PM,18.366,0.0141,22.896,61.300
145,08/29/17 03:00:00  PM,18.723,0.0141,24.002,60.500
146,08/29/17 04:00:00  PM,19.032,0.0134,23.208,58.100
147,08/29/17 05:00:00  PM,19.246,0.0119,20.603,59.700
148,08/29/17 06:00:00  PM,19.246,0.0112,20.484,62.400
149,08/29/17 07:00:00  PM,19.103,0.0105,18.604,70.300
150,08/29/17 08:00:00  PM,18.818,0.0097,17.463,76.800
151,08/29/17 09:00:00  PM,18.438,0.0097,16.796,82.400
152,08/29/17 10:00:00  PM,17.986,0.0097,15.891,87.100
153,08/29/17 11:00:00  PM,17.510,0.0105,14.840,89.300
154,08/30/17 12:00:00  AM,17.082,0.0105,14.577,92.000
155,08/30/17 01:00:00  AM,16.677,0.0112,14.050,93.000
156,08/30/17 02:00:00  AM,16.320,0.0126,13.570,94.600
157,08/30/17 03:00:00  AM,16.010,0.0126,13.257,95.300
158,08/30/17 04:00:00  AM,15.748,0.0126,12.727,95.600
159,08/30/17 05:00:00  AM,15.509,0.0126,12.678,95.900
160,08/30/17 06:00:00  AM,15.294,0.0126,12.630,96.000
161,08/30/17 07:00:00  AM,15.127,0.0126,12.509,95.900
162,08/30/17 08:00:00  AM,15.031,0.0126,14.601,95.400
163,08/30/17 09:00:00  AM,15.103,0.0126,20.246,87.500
164,08/30/17 10:00:00  AM,15.438,0.0126,22.705,70.900
165,08/30/17 11:00:00  AM,16.010,0.0126,24.581,60.200
166,08/30/17 12:00:00  PM,16.677,0.0119,24.605,57.100
167,08/30/17 01:00:00  PM,17.344,0.0112,24.243,57.400
168,08/30/17 02:00:00  PM,17.915,0.0112,25.647,62.400
169,08/30/17 03:00:00  PM,18.319,0.0105,23.521,58.400
170,08/30/17 04:00:00  PM,18.604,0.0105,23.472,65.600
171,08/30/17 05:00:00  PM,18.794,0.0090,22.465,63.100
172,08/30/17 06:00:00  PM,18.913,0.0083,22.226,64.300
173,08/30/17 07:00:00  PM,18.913,0.0090,21.199,71.400
174,08/30/17 08:00:00  PM,18.818,0.0083,19.984,79.000
175,08/30/17 09:00:00  PM,18.604,0.0076,19.674,81.000
176,08/30/17 10:00:00  PM,18.295,0.0068,19.484,81.500
177,08/30/17 11:00:00  PM,17.938,0.0076,18.152,84.200
178,08/31/17 12:00:00  AM,17.582,0.0076,16.820,88.300
179,08/31/17 01:00:00  AM,17.272,0.0083,17.130,91.000
180,08/31/17 02:00:00  AM,17.082,0.0105,17.629,90.100
181,08/31/17 03:00:00  AM,17.034,0.0264,17.368,94.900
182,08/31/17 04:00:00  AM,17.082,0.0308,16.606,97.300
183,08/31/17 05:00:00  AM,17.082,0.0301,15.079,96.300
184,08/31/17 06:00:00  AM,17.011,0.0301,14.194,96.200
185,08/31/17 07:00:00  AM,16.820,0.0293,14.002,96.800
186,08/31/17 08:00:00  AM,16.606,0.0279,14.792,96.100
187,08/31/17 09:00:00  AM,16.487,0.0243,15.891,91.900
188,08/31/17 10:00:00  AM,16.534,0.0199,16.439,81.900
189,08/31/17 11:00:00  AM,16.701,0.0184,17.605,76.300
190,08/31/17 12:00:00  PM,16.939,0.0177,18.033,66.900
191,08/31/17 01:00:00  PM,17.225,0.0170,18.842,56.600
192,08/31/17 02:00:00  PM,17.510,0.0163,19.151,55.700
193,08/31/17 03:00:00  PM,17.724,0.0155,18.699,55.100
194,08/31/17 04:00:00  PM,17.843,0.0155,19.294,51.200
195,08/31/17 05:00:00  PM,17.986,0.0148,18.557,50.500
196,08/31/17 06:00:00  PM,18.010,0.0134,15.939,54.000
197,08/31/17 07:00:00  PM,17.772,0.0141,14.673,56.600
198,08/31/17 08:00:00  PM,17.368,0.0134,13.906,57.200
199,08/31/17 09:00:00  PM,16.868,0.0126,12.920,61.100
200,08/31/17 10:00:00  PM,16.415,0.0126,11.710,63.600
201,08/31/17 11:00:00  PM,15.963,0.0126,9.583,68.200
202,09/01/17 12:00:00  AM,15.461,0.0126,8.519,76.800
203,09/01/17 01:00:00  AM,14.936,0.0126,7.820,83.300
204,09/01/17 02:00:00  AM,14.433,0.0126,8.195,86.600
205,09/01/17 03:00:00  AM,14.026,0.0126,7.268,87.300
206,09/01/17 04:00:00  AM,13.642,0.0148,6.458,90.300
207,09/01/17 05:00:00  AM,13.305,0.0155,6.306,93.200
208,09/01/17 06:00:00  AM,12.968,0.0155,5.770,94.600
209,09/01/17 07:00:00  AM,12.654,0.0170,5.565,95.900
210,09/01/17 08:00:00  AM,12.413,0.0170,8.916,95.700
211,09/01/17 09:00:00  AM,12.389,0.0170,12.920,81.900
212,09/01/17 10:00:00  AM,12.678,0.0163,14.792,67.600
213,09/01/17 11:00:00  AM,13.161,0.0163,15.915,58.300
214,09/01/17 12:00:00  PM,13.738,0.0155,16.106,54.100
215,09/01/17 01:00:00  PM,14.361,0.0141,16.654,52.600
216,09/01/17 02:00:00  PM,14.912,0.0141,17.058,51.500
217,09/01/17 03:00:00  PM,15.366,0.0134,17.724,47.600
