"Plot Title: pond"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 2252217, SEN S/N: 2226785, LBL: air_temp)","Voltage, V (LGR S/N: 2252217, SEN S/N: 2241280)","Current, mA (LGR S/N: 2252217, SEN S/N: 2241280)","Water Content, m³/m³ (LGR S/N: 2252217, SEN S/N: 9866284, LBL: wc_soil)","Temp, °C (LGR S/N: 2252217, SEN S/N: 10197815, LBL: temp_c)","RH, % (LGR S/N: 2252217, SEN S/N: 10197815, LBL: rh)","Batt, V (LGR S/N: 2252217)"
64,06/29/15 03:00:00,15.055,-0.2039,0.0000,0.3046,14.026,98.900,4.128
65,06/29/15 04:00:00,14.984,-0.2039,0.0000,0.3039,13.882,98.900,4.128
66,06/29/15 05:00:00,14.912,-0.2039,0.0000,0.3039,13.497,99.000,4.128
67,06/29/15 06:00:00,14.745,-0.2039,0.0000,0.3039,14.146,99.100,4.128
68,06/29/15 07:00:00,14.840,-0.2039,0.0000,0.3032,15.270,99.000,4.128
69,06/29/15 08:00:00,15.270,-0.2039,0.0000,0.3024,18.509,98.600,4.128
70,06/29/15 09:00:00,15.867,-0.2039,0.0000,0.3024,21.294,88.500,4.128
71,06/29/15 10:00:00,16.582,-0.2039,0.0000,0.3017,23.713,69.600,4.128
72,06/29/15 11:00:00,17.796,-0.2039,0.0000,0.3003,23.809,62.300,4.128
73,06/29/15 12:00:00,20.055,-0.2039,0.0000,0.2995,23.424,65.200,4.128
74,06/29/15 13:00:00,21.056,-0.2039,0.0000,0.2988,23.761,68.200,4.140
75,06/29/15 14:00:00,21.843,-0.2039,0.0000,0.2981,25.671,61.700,4.152
76,06/29/15 15:00:00,23.472,-0.2039,0.0000,0.2966,25.040,59.000,4.128
77,06/29/15 16:00:00,23.112,-0.2039,0.0000,0.2966,23.448,62.500,4.128
78,06/29/15 17:00:00,21.867,-0.2039,0.0000,0.2952,23.593,64.900,4.128
79,06/29/15 18:00:00,21.008,-0.2039,0.0000,0.2952,21.724,65.600,4.128
80,06/29/15 19:00:00,20.293,-0.2039,0.0000,0.2952,20.460,68.000,4.128
81,06/29/15 20:00:00,19.579,-0.2039,0.0000,0.2944,18.129,76.300,4.128
82,06/29/15 21:00:00,18.842,-0.2039,0.0000,0.2944,16.558,85.200,4.128
