"Plot Title: pond"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 2252217, SEN S/N: 2226785, LBL: soiltemp)","Water Content, m³/m³ (LGR S/N: 2252217, SEN S/N: 9866284, LBL: wc_soil)","Temp, °C (LGR S/N: 2252217, SEN S/N: 10197815, LBL: airtemp)","RH, % (LGR S/N: 2252217, SEN S/N: 10197815, LBL: rh)"
89,08/27/17 07:00:00  AM,13.690,0.3337,9.410,94.400
90,08/27/17 08:00:00  AM,13.497,0.3337,14.122,94.400
91,08/27/17 09:00:00  AM,13.546,0.3344,19.698,88.200
92,08/27/17 10:00:00  AM,13.930,0.3337,21.223,69.400
93,08/27/17 11:00:00  AM,14.553,0.3344,22.106,66.300
94,08/27/17 12:00:00  PM,15.294,0.3337,20.317,60.600
95,08/27/17 01:00:00  PM,16.058,0.3337,21.318,60.800
96,08/27/17 02:00:00  PM,17.463,0.3344,21.151,60.100
97,08/27/17 03:00:00  PM,18.461,0.3344,20.293,60.400
98,08/27/17 04:00:00  PM,18.414,0.3344,19.984,62.500
99,08/27/17 05:00:00  PM,18.224,0.3344,20.174,62.600
100,08/27/17 06:00:00  PM,17.986,0.3344,19.151,63.000
101,08/27/17 07:00:00  PM,17.629,0.3344,18.176,66.600
102,08/27/17 08:00:00  PM,17.272,0.3351,17.891,69.700
103,08/27/17 09:00:00  PM,16.939,0.3344,17.748,72.400
104,08/27/17 10:00:00  PM,16.725,0.3344,17.439,75.900
105,08/27/17 11:00:00  PM,16.582,0.3351,16.939,80.100
106,08/28/17 12:00:00  AM,16.439,0.3351,16.439,83.300
107,08/28/17 01:00:00  AM,16.296,0.3351,16.368,86.500
108,08/28/17 02:00:00  AM,16.201,0.3351,16.868,87.900
109,08/28/17 03:00:00  AM,16.153,0.3351,15.867,87.000
110,08/28/17 04:00:00  AM,16.058,0.3351,15.485,88.500
111,08/28/17 05:00:00  AM,15.915,0.3351,14.409,89.800
112,08/28/17 06:00:00  AM,15.748,0.3351,14.792,91.900
113,08/28/17 07:00:00  AM,15.605,0.3351,14.816,93.300
114,08/28/17 08:00:00  AM,15.533,0.3351,16.392,94.000
115,08/28/17 09:00:00  AM,15.676,0.3351,18.200,93.800
116,08/28/17 10:00:00  AM,16.058,0.3358,19.318,85.100
117,08/28/17 11:00:00  AM,16.582,0.3351,21.079,77.200
118,08/28/17 12:00:00  PM,17.177,0.3358,21.008,71.900
119,08/28/17 01:00:00  PM,17.772,0.3366,20.817,71.200
120,08/28/17 02:00:00  PM,18.438,0.3366,21.437,69.400
121,08/28/17 03:00:00  PM,19.175,0.3366,20.841,67.400
122,08/28/17 04:00:00  PM,19.175,0.3366,21.533,68.700
123,08/28/17 05:00:00  PM,18.961,0.3366,21.270,66.400
124,08/28/17 06:00:00  PM,18.866,0.3366,20.722,68.400
125,08/28/17 07:00:00  PM,18.747,0.3366,20.246,69.700
126,08/28/17 08:00:00  PM,18.414,0.3358,19.436,73.000
127,08/28/17 09:00:00  PM,18.129,0.3358,19.674,77.100
128,08/28/17 10:00:00  PM,17.986,0.3358,19.270,79.600
129,08/28/17 11:00:00  PM,17.867,0.3358,18.319,81.900
130,08/29/17 12:00:00  AM,17.748,0.3358,17.701,82.400
131,08/29/17 01:00:00  AM,17.558,0.3358,17.249,82.400
132,08/29/17 02:00:00  AM,17.368,0.3358,16.272,84.100
