"Plot Title: forest"
"#","Date Time, GMT-04:00","Water Content, m³/m³ (LGR S/N: 2252216, SEN S/N: 2012386)","Temp, °C (LGR S/N: 2252216, SEN S/N: 2226786)","Temp, °C (LGR S/N: 2252216, SEN S/N: 2229654)","RH, % (LGR S/N: 2252216, SEN S/N: 2229654)"
90,08/27/17 09:00:00  AM,0.0126,14.816,14.361,86.700
91,08/27/17 10:00:00  AM,0.0134,14.840,18.152,80.400
92,08/27/17 11:00:00  AM,0.0126,14.960,18.889,74.500
93,08/27/17 12:00:00  PM,0.0126,15.103,19.746,67.600
94,08/27/17 01:00:00  PM,0.0126,15.247,19.793,64.500
95,08/27/17 02:00:00  PM,0.0126,15.366,19.960,64.900
96,08/27/17 03:00:00  PM,0.0119,15.438,19.746,64.200
97,08/27/17 04:00:00  PM,0.0119,15.533,19.627,65.500
98,08/27/17 05:00:00  PM,0.0119,15.581,19.436,65.200
99,08/27/17 06:00:00  PM,0.0119,15.605,19.080,64.700
100,08/27/17 07:00:00  PM,0.0119,15.629,18.105,67.900
101,08/27/17 08:00:00  PM,0.0119,15.629,17.796,71.000
102,08/27/17 09:00:00  PM,0.0119,15.629,17.701,74.100
103,08/27/17 10:00:00  PM,0.0119,15.629,17.701,77.100
104,08/27/17 11:00:00  PM,0.0119,15.629,16.749,81.100
105,08/28/17 12:00:00  AM,0.0119,15.652,16.177,84.800
106,08/28/17 01:00:00  AM,0.0119,15.652,16.392,87.100
107,08/28/17 02:00:00  AM,0.0119,15.652,17.463,85.700
108,08/28/17 03:00:00  AM,0.0119,15.676,16.392,85.400
109,08/28/17 04:00:00  AM,0.0119,15.676,16.034,87.900
110,08/28/17 05:00:00  AM,0.0119,15.676,15.485,89.000
111,08/28/17 06:00:00  AM,0.0119,15.652,15.342,91.200
112,08/28/17 07:00:00  AM,0.0119,15.652,15.199,92.600
113,08/28/17 08:00:00  AM,0.0119,15.629,16.153,93.100
114,08/28/17 09:00:00  AM,0.0119,15.629,17.415,89.700
115,08/28/17 10:00:00  AM,0.0119,15.676,18.010,84.700
116,08/28/17 11:00:00  AM,0.0119,15.724,18.675,81.700
117,08/28/17 12:00:00  PM,0.0119,15.772,19.032,79.100
118,08/28/17 01:00:00  PM,0.0119,15.843,19.199,78.100
119,08/28/17 02:00:00  PM,0.0112,15.915,20.031,75.800
120,08/28/17 03:00:00  PM,0.0112,15.986,20.460,73.000
121,08/28/17 04:00:00  PM,0.0112,16.058,21.103,72.000
122,08/28/17 05:00:00  PM,0.0112,16.129,20.579,69.900
123,08/28/17 06:00:00  PM,0.0112,16.177,20.436,71.600
124,08/28/17 07:00:00  PM,0.0112,16.201,20.079,72.200
125,08/28/17 08:00:00  PM,0.0112,16.225,19.555,74.600
126,08/28/17 09:00:00  PM,0.0112,16.249,19.555,78.500
127,08/28/17 10:00:00  PM,0.0105,16.249,19.270,81.000
128,08/28/17 11:00:00  PM,0.0112,16.272,18.866,83.200
129,08/29/17 12:00:00  AM,0.0112,16.272,17.891,84.100
130,08/29/17 01:00:00  AM,0.0112,16.272,17.272,85.500
131,08/29/17 02:00:00  AM,0.0112,16.272,16.749,85.900
132,08/29/17 03:00:00  AM,0.0112,16.225,16.344,87.200
133,08/29/17 04:00:00  AM,0.0112,16.177,16.368,87.700
134,08/29/17 05:00:00  AM,0.0112,16.153,16.296,88.300
135,08/29/17 06:00:00  AM,0.0112,16.106,16.177,89.000
136,08/29/17 07:00:00  AM,0.0112,16.082,16.010,89.300
137,08/29/17 08:00:00  AM,0.0112,16.058,16.820,90.300
138,08/29/17 09:00:00  AM,0.0112,16.034,17.796,88.000
139,08/29/17 10:00:00  AM,0.0112,16.058,19.627,80.800
140,08/29/17 11:00:00  AM,0.0112,16.129,20.507,74.100
141,08/29/17 12:00:00  PM,0.0112,16.201,20.531,74.300
142,08/29/17 01:00:00  PM,0.0112,16.272,20.365,74.300
143,08/29/17 02:00:00  PM,0.0105,16.344,20.460,72.100
144,08/29/17 03:00:00  PM,0.0105,16.415,20.412,71.000
145,08/29/17 04:00:00  PM,0.0105,16.439,20.007,69.400
146,08/29/17 05:00:00  PM,0.0105,16.463,19.698,68.500
147,08/29/17 06:00:00  PM,0.0097,16.439,19.698,69.700
148,08/29/17 07:00:00  PM,0.0097,16.439,19.222,73.100
149,08/29/17 08:00:00  PM,0.0097,16.415,18.866,76.200
150,08/29/17 09:00:00  PM,0.0097,16.415,18.390,79.400
151,08/29/17 10:00:00  PM,0.0105,16.392,17.415,83.000
152,08/29/17 11:00:00  PM,0.0105,16.368,16.582,84.700
153,08/30/17 12:00:00  AM,0.0105,16.344,15.843,86.800
154,08/30/17 01:00:00  AM,0.0105,16.272,15.223,88.900
155,08/30/17 02:00:00  AM,0.0105,16.201,14.792,90.300
156,08/30/17 03:00:00  AM,0.0105,16.153,14.409,90.200
157,08/30/17 04:00:00  AM,0.0105,16.058,13.978,90.500
158,08/30/17 05:00:00  AM,0.0105,15.986,13.690,90.800
159,08/30/17 06:00:00  AM,0.0105,15.891,13.425,91.200
160,08/30/17 07:00:00  AM,0.0105,15.796,13.425,91.200
161,08/30/17 08:00:00  AM,0.0105,15.724,14.337,90.900
162,08/30/17 09:00:00  AM,0.0105,15.676,16.463,89.000
163,08/30/17 10:00:00  AM,0.0105,15.676,18.985,83.700
164,08/30/17 11:00:00  AM,0.0105,15.772,20.674,76.200
165,08/30/17 12:00:00  PM,0.0097,15.915,21.987,71.200
166,08/30/17 01:00:00  PM,0.0097,16.058,22.130,69.800
167,08/30/17 02:00:00  PM,0.0097,16.201,22.082,71.600
168,08/30/17 03:00:00  PM,0.0097,16.296,21.819,69.500
169,08/30/17 04:00:00  PM,0.0097,16.392,21.151,74.200
170,08/30/17 05:00:00  PM,0.0097,16.463,21.676,73.700
171,08/30/17 06:00:00  PM,0.0097,16.511,21.557,73.400
172,08/30/17 07:00:00  PM,0.0097,16.558,20.793,75.800
173,08/30/17 08:00:00  PM,0.0097,16.606,20.698,81.200
174,08/30/17 09:00:00  PM,0.0090,16.654,21.772,78.000
175,08/30/17 10:00:00  PM,0.0090,16.701,20.841,76.800
176,08/30/17 11:00:00  PM,0.0097,16.725,19.651,79.900
177,08/31/17 12:00:00  AM,0.0097,16.701,18.675,83.700
178,08/31/17 01:00:00  AM,0.0097,16.701,18.224,86.600
179,08/31/17 02:00:00  AM,0.0097,16.677,17.748,88.400
180,08/31/17 03:00:00  AM,0.0090,16.654,17.368,94.000
181,08/31/17 04:00:00  AM,0.0155,16.630,16.654,97.100
182,08/31/17 05:00:00  AM,0.0155,16.606,14.840,97.200
183,08/31/17 06:00:00  AM,0.0163,16.534,14.218,97.300
184,08/31/17 07:00:00  AM,0.0155,16.415,13.834,97.400
185,08/31/17 08:00:00  AM,0.0155,16.320,14.122,97.500
186,08/31/17 09:00:00  AM,0.0148,16.201,14.409,96.200
187,08/31/17 10:00:00  AM,0.0148,16.129,15.318,89.300
188,08/31/17 11:00:00  AM,0.0148,16.082,15.366,84.800
189,08/31/17 12:00:00  PM,0.0155,16.034,16.153,78.400
190,08/31/17 01:00:00  PM,0.0155,15.963,16.725,68.700
191,08/31/17 02:00:00  PM,0.0148,15.915,16.939,67.600
192,08/31/17 03:00:00  PM,0.0148,15.867,17.011,66.400
193,08/31/17 04:00:00  PM,0.0148,15.843,17.582,63.400
194,08/31/17 05:00:00  PM,0.0148,15.796,17.058,61.100
195,08/31/17 06:00:00  PM,0.0141,15.724,15.748,63.500
196,08/31/17 07:00:00  PM,0.0141,15.629,14.792,62.900
197,08/31/17 08:00:00  PM,0.0141,15.533,13.954,63.600
198,08/31/17 09:00:00  PM,0.0148,15.390,13.305,65.500
199,08/31/17 10:00:00  PM,0.0141,15.270,12.558,67.800
200,08/31/17 11:00:00  PM,0.0141,15.151,10.810,73.900
201,09/01/17 12:00:00  AM,0.0141,15.055,10.026,75.600
202,09/01/17 01:00:00  AM,0.0141,14.960,9.435,80.900
203,09/01/17 02:00:00  AM,0.0141,14.816,8.792,84.100
204,09/01/17 03:00:00  AM,0.0141,14.697,8.668,83.800
205,09/01/17 04:00:00  AM,0.0148,14.553,7.920,85.700
